alegoría,n,"allegory. A story that illustrates a moral idea or whose objects have symbolic meaning.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
apología,n,"apology. A defense of a person or an ideology","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
caricatura,n,"caricature. Work that ridicules something or someone by exaggeration.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
cromatismo o simbolismo cromático,n,"The use of colors to express ideas and feelings","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
desdoblamiento,n,"splitting. Separation of components that are usually together","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
leitmotiv,n,"A German word that describes a recurring motif in a play. Repetition of a word, phrase, or concept","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
"metaficción, metateatro, metacrítica",n,"a self-referential form of literature or drama","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
parodia,n,"a work or performance that imitates another work with ridicule or irony","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
sátira,n,"satire. Writing or art that ridicules its subject often as a mean of provoking or preventing change","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
narrativa epistolar,n,"a narrative that is told in the form of letters written by the characters","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
narrador fidedigno,n,"reliable narrator. A narrator in literature whose credibility is trustworthy","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
narrador no fidedigno,n,"unreliable narrator. A narrator whose credibility has been compromised","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
narrador testigo,n,"A third-person narrator who does not participate in the events of the story","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
narratario,n,"naratee. A person to whom a story in narrated.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
parábola,n,"parable. A short narrative that illustrates a lesson by comparison or analogy.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
cesura,n,"caesura: a pause or interruption in a poem, music, or other work of art.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
diéresis,n,"A diacritic (¨) placed over a vowel indicating that it is sounded separately, forming a distinct syllable","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
hemistiquio,n,"An approximate half-line of verse, separated from another by a caesura, often for dramatic effect","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
hiato,n,"hiatus: a syllable break between two vowels.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
sinéresis,n,"the union of adjacent vowels within a word that formed a hiatus (hiato)","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
verso blanco o suelto,n,"a verse that has no rhyme, assonance or consonance with another verse, but fits in with the meter of the poem","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
verso libre,n,"a verse in poetry with no rhyme or metric pattern","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
polifonía,n,"polyphony: literary texture that consists of several independent voices","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
polimetría,n,"polarimetry. Using different metrical forms in a single poem","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
silva,n,"a type of poem that contains verses with seven and eleven syllables. It often rhymes, but has no formal rhyme pattern","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
anagnórisis,n,"When a character comes to a profound understanding of self, human nature, or the current situation.","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
catarsis,n,"catharsis. An extreme change in emotion that results in renewal and restoration","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
falla trágica,n,"tragic flaw. The weakness of a character that brings about a hero's downfall in a tragedy","Literary Spanish terms to study for the AP Exam provided by the CollegeBoard","Terms for Achievement Number 5",Difficult AP Spanish
