cajole,v,to persuade someone to do something they are reluctant to do,"Common SAT Verbs","SAT Verbs",SAT Common Verbs
concur,v,to unite or agree (in action or opinion),"Common SAT Verbs","SAT Verbs",SAT Common Verbs
delineate,v,to describe or depict,"Common SAT Verbs","SAT Verbs",SAT Common Verbs
digress,v,"to turn aside from main subject of attention, to deviate","Common SAT Verbs","SAT Verbs",SAT Common Verbs
elucidate,v,"to clarify, make clear","Common SAT Verbs","SAT Verbs",SAT Common Verbs
enumerate,v,to mention each member of a list one by one,"Common SAT Verbs","SAT Verbs",SAT Common Verbs
fathom,v,"to comprehend, come to an understanding of","Common SAT Verbs","SAT Verbs",SAT Common Verbs
prattle,v,"to babble, speak incessantly in a childish manner","Common SAT Verbs","SAT Verbs",SAT Common Verbs
evoke,v,"to bring or recall to the conscious mind","Common SAT Verbs","SAT Verbs",SAT Common Verbs
instigate,v,"to set on, to incite, to bring about","Common SAT Verbs","SAT Verbs",SAT Common Verbs
aspire,v,"to hope or dream; especially to work towards a profession","Common SAT Verbs","SAT Verbs",SAT Common Verbs
pacify,v,"to bring peace","Common SAT Verbs","SAT Verbs",SAT Common Verbs
placate,v,"to calm down an angry person","Common SAT Verbs","SAT Verbs",SAT Common Verbs
rouse,v,"to wake or be awoken from sleep or apathy; to provoke","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abhor,v,"to detest; to regard with horror","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abjure,v,"to renounce upon oath; to disavow","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abridge,v,"to make shorter","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abrogate,v,"to annul or abolish by an authoritative act; to put an end to","Common SAT Verbs","SAT Verbs",SAT Common Verbs
assuage,v,"to lessen the intensity of something; to calm someone down","Common SAT Verbs","SAT Verbs",SAT Common Verbs
dispel,v,"to get rid of a feeling or belief","Common SAT Verbs","SAT Verbs",SAT Common Verbs
stupefy,v,"to shock; to make someone unable to think normally","Common SAT Verbs","SAT Verbs",SAT Common Verbs
corroborate,v,to confirm or support something with evidence,"Common SAT Verbs","SAT Verbs",SAT Common Verbs
incriminate,v,to accuse or bring charges against,"Common SAT Verbs","SAT Verbs",SAT Common Verbs
sanction,v,"to ratify; to make valid","Common SAT Verbs","SAT Verbs",SAT Common Verbs
patronize,v,"to assume a tone of superiority; to treat condescendingly","Common SAT Verbs","SAT Verbs",SAT Common Verbs
procure,v,"to obtain","Common SAT Verbs","SAT Verbs",SAT Common Verbs
depose,v,"to put down; to lay down; to put away","Common SAT Verbs","SAT Verbs",SAT Common Verbs
usurp,v,"to seize power from another, usually by illegitimate means","Common SAT Verbs","SAT Verbs",SAT Common Verbs
berate,v,"to chide or scold vehemently","Common SAT Verbs","SAT Verbs",SAT Common Verbs
disparage,v,"to degrade or dishonor","Common SAT Verbs","SAT Verbs",SAT Common Verbs
spurn,v,"to reject disdainfully","Common SAT Verbs","SAT Verbs",SAT Common Verbs
coalesce,v,"to join into a single entity","Common SAT Verbs","SAT Verbs",SAT Common Verbs
elicit,v,"to draw out, bring forth something latent","Common SAT Verbs","SAT Verbs",SAT Common Verbs
induce,v,"to cause; to bring about","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abate,v,"to become less intense or widespread","Common SAT Verbs","SAT Verbs",SAT Common Verbs
excise,v,"to cut out; to remove","Common SAT Verbs","SAT Verbs",SAT Common Verbs
exploit,v,"to use for one's own advantage","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abscond,v,"to flee, often to avoid arrest","Common SAT Verbs","SAT Verbs",SAT Common Verbs
efface,v,"to erase","Common SAT Verbs","SAT Verbs",SAT Common Verbs
circumscribe,v,"to restrict something within limits","Common SAT Verbs","SAT Verbs",SAT Common Verbs
encompass,v,"to include within its scope; to describe fully","Common SAT Verbs","SAT Verbs",SAT Common Verbs
germinate,v,"to cause to grow","Common SAT Verbs","SAT Verbs",SAT Common Verbs
incubate,v,"to keep something in ideal conditions for development","Common SAT Verbs","SAT Verbs",SAT Common Verbs
preclude,v,"to remove the possibility of","Common SAT Verbs","SAT Verbs",SAT Common Verbs
proliferate,v,"to increase in number","Common SAT Verbs","SAT Verbs",SAT Common Verbs
hasten,v,"to move in a quick fashion","Common SAT Verbs","SAT Verbs",SAT Common Verbs
divulge,v,"to make public; to proclaim","Common SAT Verbs","SAT Verbs",SAT Common Verbs
dupe,v,"to swindle, deceive, or trick","Common SAT Verbs","SAT Verbs",SAT Common Verbs
decimate,v,"to reduce a large part of something","Common SAT Verbs","SAT Verbs",SAT Common Verbs
elude,v,"to evade, or escape from something","Common SAT Verbs","SAT Verbs",SAT Common Verbs
absolve,v,"to set free, release or discharge","Common SAT Verbs","SAT Verbs",SAT Common Verbs
abstain,v,"to refrain from something","Common SAT Verbs","SAT Verbs",SAT Common Verbs
saturate,v,"to cause something to be so soaked with liquid that no more can be absorbed","Common SAT Verbs","SAT Verbs",SAT Common Verbs
transcend,v,"to pass beyond limits of something","Common SAT Verbs","SAT Verbs",SAT Common Verbs
wrest,v,"to obtain by violent force","Common SAT Verbs","SAT Verbs",SAT Common Verbs
transverse,v,"to overturn; to change","Common SAT Verbs","SAT Verbs",SAT Common Verbs
transmute,v,"to change, transform or convert one thing to another","Common SAT Verbs","SAT Verbs",SAT Common Verbs
sojourn,v,"to reside somewhere temporarily","Common SAT Verbs","SAT Verbs",SAT Common Verbs
